TEAM_NAME,SEASON,Wins,Losses,PACE,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%
Atlanta Hawks,2000-01,25,57,93.63,96.9,102.4,-5.5,0.5,2876,6668,333,933,43.13,35.69,2543,5735,44.34
Atlanta Hawks,2001-02,33,49,93.21,100.4,104.8,-4.4,0.517,2901,6610,423,1194,43.89,35.43,2478,5416,45.75
Atlanta Hawks,2002-03,35,47,92.63,100.4,104.2,-3.8,0.527,2859,6434,402,1141,44.44,35.23,2457,5293,46.42
Atlanta Hawks,2003-04,28,54,92.68,99.1,103.9,-4.8,0.514,2829,6529,419,1249,43.33,33.55,2410,5280,45.64
Atlanta Hawks,2004-05,13,69,93.09,98.8,109,-10.2,0.504,2942,6672,304,973,44.09,31.24,2638,5699,46.29
Atlanta Hawks,2005-06,26,56,91.75,104.8,110.1,-5.3,0.534,2946,6496,424,1154,45.35,36.74,2522,5342,47.21
Atlanta Hawks,2006-07,30,52,90.98,102,107,-5.1,0.523,2831,6372,341,1038,44.43,32.85,2490,5334,46.68
Atlanta Hawks,2007-08,37,45,92.35,105.5,107.3,-1.8,0.535,2975,6552,384,1078,45.41,35.62,2591,5474,47.33
Atlanta Hawks,2008-09,47,35,90.44,108.3,106.7,1.7,0.546,2956,6451,597,1633,45.82,36.56,2359,4818,48.96
Atlanta Hawks,2009-10,53,29,90.77,111,106,4.9,0.545,3181,6801,524,1455,46.77,36.01,2657,5346,49.7
Atlanta Hawks,2010-11,44,38,90.22,105.1,105.8,-0.7,0.542,2971,6429,502,1427,46.21,35.18,2469,5002,49.36
Atlanta Hawks,2011-12,40,26,90.88,104.2,100.4,3.8,0.535,2429,5348,492,1330,45.42,36.99,1937,4018,48.21
Atlanta Hawks,2012-13,44,38,93.56,103.7,103.4,0.3,0.546,3084,6644,706,1901,46.42,37.14,2378,4743,50.14
Atlanta Hawks,2013-14,38,44,95.41,104.9,105.7,-0.7,0.554,3061,6688,768,2116,45.77,36.29,2293,4572,50.15
Atlanta Hawks,2014-15,60,22,94.66,108.2,102.3,5.9,0.563,3121,6699,818,2152,46.59,38.01,2303,4547,50.65
Atlanta Hawks,2015-16,48,34,97.63,104.6,100.8,3.9,0.552,3168,6923,815,2326,45.76,35.04,2353,4597,51.19
Atlanta Hawks,2016-17,43,39,97.76,104.5,105.2,-0.7,0.541,3123,6918,729,2137,45.14,34.11,2394,4781,50.07
Atlanta Hawks,2017-18,24,58,98.76,104.4,110.1,-5.7,0.547,3130,7015,917,2544,44.62,36.05,2213,4471,49.5
Atlanta Hawks,2018-19,29,53,104.56,107.5,113.1,-5.5,0.555,3392,7524,1067,3034,45.08,35.17,2325,4490,51.78
Atlanta Hawks,2019-20,20,47,103.28,107,114.4,-7.4,0.554,2723,6067,805,2416,44.88,33.32,1918,3651,52.53
Atlanta Hawks,2020-21,41,31,98.68,114.3,112.1,2.2,0.581,2937,6281,895,2402,46.76,37.26,2042,3879,52.64
Atlanta Hawks,2021-22,43,39,98.67,115.4,113.7,1.6,0.581,3401,7241,1056,2821,46.97,37.43,2345,4420,53.05
Atlanta Hawks,2022-23,41,41,101.56,115.5,115.4,0.1,0.579,3658,7574,882,2505,48.3,35.21,2776,5069,54.76
Atlanta Hawks,2023-24,36,46,100.84,116.4,118.4,-2,0.576,3529,7584,1125,3092,46.53,36.38,2404,4492,53.52
Boston Celtics,2000-01,36,46,93.81,100.1,102.3,-2.2,0.521,2773,6485,592,1633,42.76,36.25,2181,4852,44.95
Boston Celtics,2001-02,49,33,93.6,102.1,99.9,2.2,0.52,2852,6731,699,1946,42.37,35.92,2153,4785,44.99
Boston Celtics,2002-03,44,38,91.95,100,100.5,-0.6,0.514,2700,6509,719,2155,41.48,33.36,1981,4354,45.5
Boston Celtics,2003-04,36,46,94.47,100.7,102.2,-1.5,0.532,2843,6415,553,1599,44.32,34.58,2290,4816,47.55
Boston Celtics,2004-05,45,37,94.61,105.9,105.1,0.8,0.551,3046,6511,437,1252,46.78,34.9,2609,5259,49.61
Boston Celtics,2005-06,33,49,93.27,104,105.6,-1.5,0.551,2951,6322,467,1290,46.68,36.2,2484,5032,49.36
Boston Celtics,2006-07,24,58,92.91,102.3,105.8,-3.5,0.53,2858,6454,471,1283,44.28,36.71,2387,5171,46.16
Boston Celtics,2007-08,66,16,91.88,108.8,98.1,10.8,0.569,2986,6286,596,1564,47.5,38.11,2390,4722,50.61
Boston Celtics,2008-09,62,20,91.15,109.5,101.6,7.9,0.571,3075,6333,538,1355,48.56,39.7,2537,4978,50.96
Boston Celtics,2009-10,50,32,92.22,106.9,103.2,3.7,0.564,3039,6294,499,1433,48.28,34.82,2540,4861,52.25
Boston Celtics,2010-11,56,26,90.92,105.5,99.8,5.7,0.561,3023,6219,408,1119,48.61,36.46,2615,5100,51.27
Boston Celtics,2011-12,39,27,91.11,100.1,97.5,2.6,0.535,2341,5086,363,988,46.03,36.74,1978,4098,48.27
Boston Celtics,2012-13,41,40,92.46,102.2,102.6,-0.5,0.542,3001,6459,498,1390,46.46,35.83,2503,5069,49.38
Boston Celtics,2013-14,25,57,94.28,101.9,106.5,-4.6,0.517,2996,6883,575,1729,43.53,33.26,2421,5154,46.97
Boston Celtics,2014-15,40,42,96.71,103.8,103.5,0.3,0.523,3193,7211,660,2021,44.28,32.66,2533,5190,48.81
Boston Celtics,2015-16,48,34,99.43,105.8,102.5,3.3,0.531,3216,7318,717,2142,43.95,33.47,2499,5176,48.28
Boston Celtics,2016-17,53,29,97.21,110.6,108,2.6,0.567,3168,6977,985,2741,45.41,35.94,2183,4236,51.53
Boston Celtics,2017-18,55,27,96.75,106.8,103.2,3.6,0.552,3141,6975,939,2492,45.03,37.68,2202,4483,49.12
Boston Celtics,2018-19,49,33,100.43,111.3,107,4.3,0.567,3451,7423,1032,2829,46.49,36.48,2419,4594,52.66
Boston Celtics,2019-20,48,24,99.92,112.8,106.5,6.3,0.57,2971,6448,905,2487,46.08,36.39,2066,3961,52.16
Boston Celtics,2020-21,36,36,98.94,113.1,111.8,1.2,0.574,2985,6401,979,2618,46.63,37.39,2006,3783,53.03
Boston Celtics,2021-22,51,31,97.26,113.6,106.2,7.4,0.578,3341,7167,1085,3044,46.62,35.64,2256,4123,54.72
Boston Celtics,2022-23,57,25,99.15,117.3,110.6,6.7,0.6,3460,7278,1315,3492,47.54,37.66,2145,3786,56.66
Boston Celtics,2023-24,64,18,97.98,122.2,110.6,11.7,0.609,3601,7396,1351,3482,48.69,38.8,2250,3914,57.49
Brooklyn Nets,2000-01,26,56,93.35,106.9,104.8,2,0.536,2781,6550,361,1084,42.46,33.3,2420,5466,44.27
Brooklyn Nets,2001-02,52,30,93.2,105.4,106.7,-1.3,0.555,3042,6816,403,1194,44.63,33.75,2639,5622,46.94
Brooklyn Nets,2002-03,49,33,93,103.4,106.3,-3,0.529,2906,6585,346,1041,44.13,33.24,2560,5544,46.18
Brooklyn Nets,2003-04,47,35,90.97,102.4,109.7,-7.4,0.527,2813,6372,377,1123,44.15,33.57,2436,5249,46.41
Brooklyn Nets,2004-05,42,40,90.41,103.6,110.1,-6.5,0.551,2753,6419,435,1203,42.89,36.16,2318,5216,44.44
Brooklyn Nets,2005-06,49,33,91.17,106.1,109.7,-3.6,0.551,2778,6317,477,1447,43.98,32.96,2301,4870,47.25
Brooklyn Nets,2006-07,41,41,92.69,108.9,109,-0.1,0.556,2913,6379,609,1676,45.67,36.34,2304,4703,48.99
Brooklyn Nets,2007-08,34,48,92.96,108.7,109.2,-0.5,0.554,2856,6450,498,1430,44.28,34.83,2358,5020,46.97
Brooklyn Nets,2008-09,34,48,91.12,117.3,113.1,4.2,0.61,2925,6536,652,1735,44.75,37.58,2273,4801,47.34
Brooklyn Nets,2009-10,12,70,92.65,113.2,112.3,0.9,0.576,2813,6554,377,1185,42.92,31.81,2436,5369,45.37
Brooklyn Nets,2010-11,24,58,90.7,114.6,113.5,1.1,0.598,2918,6638,459,1337,43.96,34.33,2459,5301,46.39
Brooklyn Nets,2011-12,22,44,91.26,112.4,115.4,-2.9,0.561,2262,5320,507,1481,42.52,34.23,1755,3839,45.72
Brooklyn Nets,2012-13,49,33,89.88,106.9,104.8,2,0.536,2942,6544,628,1760,44.96,35.68,2314,4784,48.37
Brooklyn Nets,2013-14,44,38,92.42,105.4,106.7,-1.3,0.555,2931,6391,709,1922,45.86,36.89,2222,4469,49.72
Brooklyn Nets,2014-15,38,44,93.69,103.4,106.3,-3,0.529,3069,6804,541,1633,45.11,33.13,2528,5171,48.89
Brooklyn Nets,2015-16,21,61,96.12,102.4,109.7,-7.4,0.527,3136,6920,531,1508,45.32,35.21,2605,5412,48.13
Brooklyn Nets,2016-17,20,62,101.75,103.6,110.1,-6.5,0.551,3102,6987,877,2591,44.4,33.85,2225,4396,50.61
Brooklyn Nets,2017-18,28,54,99.66,106.1,109.7,-3.6,0.551,3136,7114,1041,2924,44.08,35.6,2095,4190,50
Brooklyn Nets,2018-19,42,40,101.52,108.9,109,-0.1,0.556,3301,7358,1047,2965,44.86,35.31,2254,4393,51.31
Brooklyn Nets,2019-20,35,37,101.7,108.7,109.2,-0.5,0.554,2908,6498,941,2746,44.75,34.27,1967,3752,52.43
Brooklyn Nets,2020-21,48,24,100.27,117.3,113.1,4.2,0.61,3106,6289,1020,2600,49.39,39.23,2086,3689,56.55
Brooklyn Nets,2021-22,44,38,99.4,113.2,112.3,0.9,0.576,3442,7251,940,2602,47.47,36.13,2502,4649,53.82
Brooklyn Nets,2022-23,45,37,98.77,114.6,113.5,1.1,0.598,3399,6978,1048,2771,48.71,37.82,2351,4207,55.88
Brooklyn Nets,2023-24,32,50,97.56,112.4,115.4,-2.9,0.561,3334,7307,1089,3010,45.63,36.18,2245,4297,52.25
Charlotte Hornets,2000-01,46,36,91.24,99.7,97.6,2.1,0.506,2800,6501,340,984,43.07,34.55,2460,5517,44.59
Charlotte Hornets,2001-02,44,38,90.93,102.9,101.8,1.2,0.513,2893,6580,346,994,43.97,34.81,2547,5586,45.6
Charlotte Hornets,2004-05,18,64,93.54,99.8,106,-6.2,0.497,2961,6859,320,881,43.17,36.32,2641,5978,44.18
Charlotte Hornets,2005-06,26,56,94.57,101.2,105.6,-4.4,0.509,2961,6843,428,1261,43.27,33.94,2533,5582,45.38
Charlotte Hornets,2006-07,33,49,93.11,102.4,106.3,-3.9,0.524,2960,6643,457,1280,44.56,35.7,2503,5363,46.67
Charlotte Hornets,2007-08,32,50,92.75,103.7,108.2,-4.5,0.532,2960,6554,529,1443,45.16,36.66,2431,5111,47.56
Charlotte Hornets,2008-09,35,47,89.18,103.7,105,-1.3,0.536,2866,6299,490,1339,45.5,36.59,2376,4960,47.9
Charlotte Hornets,2009-10,44,38,90.91,103.9,102,1.9,0.538,2858,6306,460,1331,45.32,34.56,2398,4975,48.2
Charlotte Hornets,2010-11,34,48,90.3,102.8,107,-4.2,0.528,2873,6365,393,1203,45.14,32.67,2480,5162,48.04
Charlotte Hornets,2011-12,7,59,91.86,94.4,109.4,-15,0.483,2193,5293,263,892,41.43,29.48,1930,4401,43.85
Charlotte Hornets,2012-13,21,61,92.49,100.4,110.3,-9.9,0.507,2823,6649,469,1399,42.46,33.52,2354,5250,44.84
Charlotte Hornets,2013-14,43,39,92.93,103,103.3,-0.4,0.522,2976,6730,516,1471,44.22,35.08,2460,5259,46.78
Charlotte Hornets,2014-15,33,49,93.45,99.6,103,-3.4,0.498,2913,6932,498,1566,42.02,31.8,2415,5366,45.01
Charlotte Hornets,2015-16,48,34,96.24,106.4,103.7,2.7,0.545,3036,6922,873,2410,43.86,36.22,2163,4512,47.94
Charlotte Hornets,2016-17,36,46,95.92,108.4,108.4,0,0.547,3093,7000,824,2347,44.19,35.11,2269,4653,48.76
Charlotte Hornets,2017-18,36,46,98.66,109,109,-0.1,0.549,3197,7106,824,2233,44.99,36.9,2373,4873,48.7
Charlotte Hornets,2018-19,39,43,99.18,110.7,112,-1.3,0.554,3297,7362,977,2783,44.78,35.11,2320,4579,50.67
Charlotte Hornets,2019-20,23,42,96.24,105.9,112.8,-7,0.539,2425,5586,785,2231,43.41,35.19,1640,3355,48.88
Charlotte Hornets,2020-21,33,39,99,110.1,112,-1.9,0.564,2875,6324,985,2666,45.46,36.95,1890,3658,51.67
Charlotte Hornets,2021-22,43,39,100.52,113.6,113.1,0.5,0.572,3508,7497,1143,3130,46.79,36.52,2365,4367,54.16
Charlotte Hornets,2022-23,27,55,101.47,108.4,114.7,-6.3,0.551,3385,7413,881,2669,45.66,33.01,2504,4744,52.78
Charlotte Hornets,2023-24,21,61,97.81,108.6,119.2,-10.6,0.56,3281,7133,989,2788,46,35.47,2292,4345,52.75
Chicago Bulls,2000-01,15,67,90.47,95.9,105.9,-10,0.495,2721,6411,329,950,42.44,34.63,2392,5461,43.8
Chicago Bulls,2001-02,21,61,91.56,97.2,106.2,-9.1,0.499,2811,6491,300,868,43.31,34.56,2511,5623,44.66
Chicago Bulls,2002-03,30,52,94.76,99.1,104.2,-5.1,0.512,2991,6714,349,997,44.55,35.01,2642,5717,46.21
Chicago Bulls,2003-04,23,59,93.23,95.6,102.1,-6.5,0.486,2798,6753,429,1256,41.43,34.16,2369,5497,43.1
Chicago Bulls,2004-05,47,35,93.41,100.5,99.1,1.4,0.517,2849,6592,511,1433,43.22,35.66,2338,5159,45.32
Chicago Bulls,2005-06,41,41,93.59,103.3,102.7,0.7,0.527,3004,6737,560,1477,44.59,37.91,2444,5260,46.46
Chicago Bulls,2006-07,49,33,94.47,104,98.8,5.2,0.534,3046,6663,480,1237,45.72,38.8,2566,5426,47.29
Chicago Bulls,2007-08,33,49,94.04,102.9,106,-3.1,0.515,2987,6861,474,1305,43.54,36.32,2513,5556,45.23
Chicago Bulls,2008-09,41,41,94.1,107.2,107.5,-0.3,0.541,3126,6846,493,1293,45.66,38.13,2633,5553,47.42
Chicago Bulls,2009-10,41,41,94.02,102.6,104.2,-1.6,0.52,3081,6825,352,1066,45.14,33.02,2729,5759,47.39
Chicago Bulls,2010-11,62,20,91.2,107.2,99.5,7.8,0.541,3042,6587,511,1415,46.18,36.11,2531,5172,48.94
Chicago Bulls,2011-12,50,16,89.98,106.3,97.5,8.8,0.523,2467,5462,419,1117,45.17,37.51,2048,4345,47.13
Chicago Bulls,2012-13,45,37,90.35,102.4,101.9,0.5,0.512,2926,6698,446,1265,43.68,35.26,2480,5433,45.65
Chicago Bulls,2013-14,48,34,90.84,101.7,99.9,1.9,0.518,2843,6577,508,1459,43.23,34.82,2335,5118,45.62
Chicago Bulls,2014-15,50,32,93.8,106.3,103.3,3,0.536,3001,6797,645,1825,44.15,35.34,2356,4972,47.39
Chicago Bulls,2015-16,42,40,96.6,104.1,105.5,-1.4,0.526,3165,7170,651,1753,44.14,37.14,2514,5417,46.41
Chicago Bulls,2016-17,41,41,96.02,106.5,106.2,0.3,0.53,3169,7141,623,1831,44.38,34.03,2546,5310,47.95
Chicago Bulls,2017-18,27,55,98.65,103.4,110.5,-7,0.529,3170,7285,906,2549,43.51,35.54,2264,4736,47.8
Chicago Bulls,2018-19,22,60,99.3,104.5,112.8,-8.3,0.541,3266,7205,745,2123,45.33,35.09,2521,5082,49.61
Chicago Bulls,2019-20,22,43,100.46,105.8,108.9,-3.1,0.547,2573,5762,793,2282,44.65,34.75,1780,3480,51.15
Chicago Bulls,2020-21,31,41,99.58,110.4,111.5,-1.1,0.575,3035,6380,904,2446,47.57,36.96,2131,3934,54.17
Chicago Bulls,2021-22,46,36,98.76,112.7,113.2,-0.5,0.579,3422,7127,872,2364,48.01,36.89,2550,4763,53.54
Chicago Bulls,2022-23,40,42,99.18,112.8,111.5,1.3,0.587,3488,7116,854,2367,49.02,36.08,2634,4749,55.46
Chicago Bulls,2023-24,39,43,96.94,114,115.7,-1.7,0.568,3448,7339,941,2630,46.98,35.78,2507,4709,53.24
Cleveland Cavaliers,2000-01,30,52,92.32,99.3,103.5,-4.2,0.509,2890,6532,220,659,44.24,33.38,2670,5873,45.46
Cleveland Cavaliers,2001-02,29,53,91.31,103.4,107,-3.6,0.524,2948,6582,387,1026,44.79,37.72,2561,5556,46.09
Cleveland Cavaliers,2002-03,17,65,95.32,95.2,105.1,-9.9,0.491,2850,6746,293,897,42.25,32.66,2557,5849,43.72
Cleveland Cavaliers,2003-04,35,47,91.71,100.6,103.1,-2.6,0.498,2922,6753,247,786,43.27,31.42,2675,5967,44.83
Cleveland Cavaliers,2004-05,42,40,90.72,105.3,104.7,0.6,0.518,2990,6687,300,904,44.71,33.19,2690,5783,46.52
Cleveland Cavaliers,2005-06,50,32,90.77,106.6,104.4,2.1,0.538,2908,6412,497,1465,45.35,33.92,2411,4947,48.74
Cleveland Cavaliers,2006-07,50,32,91.59,104.4,100.6,3.8,0.522,2978,6658,494,1404,44.73,35.19,2484,5254,47.28
Cleveland Cavaliers,2007-08,45,37,91.06,104.8,105.4,-0.6,0.52,2937,6697,552,1544,43.86,35.75,2385,5153,46.28
Cleveland Cavaliers,2008-09,66,16,89.61,111.2,101.6,9.6,0.56,3022,6454,656,1670,46.82,39.28,2366,4784,49.46
Cleveland Cavaliers,2009-10,61,21,91.77,110.6,103.8,6.8,0.57,3101,6391,602,1582,48.52,38.05,2499,4809,51.97
Cleveland Cavaliers,2010-11,19,63,93.76,101.5,110.9,-9.5,0.518,2886,6647,509,1489,43.42,34.18,2377,5158,46.08
Cleveland Cavaliers,2011-12,21,45,92.34,100,107.6,-7.6,0.505,2261,5360,440,1273,42.18,34.56,1821,4087,44.56
Cleveland Cavaliers,2012-13,24,58,93.25,103.2,108.2,-5,0.514,2993,6901,547,1581,43.37,34.6,2446,5320,45.98
Cleveland Cavaliers,2013-14,33,49,93.69,103.5,107,-3.6,0.518,3036,6955,584,1640,43.65,35.61,2452,5315,46.13
Cleveland Cavaliers,2014-15,53,29,93.23,110.1,105.3,4.8,0.557,3089,6739,826,2253,45.84,36.66,2263,4486,50.45
Cleveland Cavaliers,2015-16,57,25,93.82,110.2,103.9,6.3,0.558,3171,6888,880,2428,46.04,36.24,2291,4460,51.37
Cleveland Cavaliers,2016-17,51,31,96.74,112.8,109.7,3.1,0.58,3275,6963,1067,2779,47.03,38.4,2208,4184,52.77
Cleveland Cavaliers,2017-18,50,32,98.72,112,111.1,1,0.584,3311,6950,981,2636,47.64,37.22,2330,4314,54.01
Cleveland Cavaliers,2018-19,19,63,97.37,106.8,116.8,-10,0.54,3189,7184,847,2388,44.39,35.47,2342,4796,48.83
Cleveland Cavaliers,2019-20,19,46,99.17,106.9,114.8,-7.9,0.553,2619,5715,727,2070,45.83,35.12,1892,3645,51.91
Cleveland Cavaliers,2020-21,22,50,97.96,105.2,113.5,-8.3,0.543,2778,6175,720,2141,44.99,33.63,2058,4034,51.02
Cleveland Cavaliers,2021-22,44,38,96.83,111,108.9,2.1,0.571,3255,6940,953,2686,46.9,35.48,2302,4254,54.11
Cleveland Cavaliers,2022-23,51,31,96.27,115.5,109.9,5.6,0.59,3408,6984,950,2589,48.8,36.69,2458,4395,55.93
Cleveland Cavaliers,2023-24,48,34,97.62,114.7,112.1,2.5,0.586,3425,7148,1108,3016,47.92,36.74,2317,4132,56.07
Dallas Mavericks,2000-01,53,29,94.52,105.6,101.2,4.4,0.544,3085,6716,517,1357,45.94,38.1,2568,5359,47.92
Dallas Mavericks,2001-02,57,25,94.36,110.3,106,4.3,0.553,3200,6930,621,1645,46.18,37.75,2579,5285,48.8
Dallas Mavericks,2002-03,60,22,93.75,109.3,101,8.3,0.543,3161,6982,636,1668,45.27,38.13,2525,5314,47.52
Dallas Mavericks,2003-04,52,30,94.62,110.4,105.9,4.5,0.536,3322,7230,507,1456,45.95,34.82,2815,5774,48.75
Dallas Mavericks,2004-05,58,24,94.18,108.5,102.6,5.9,0.545,3058,6691,463,1273,45.7,36.37,2595,5418,47.9
Dallas Mavericks,2005-06,60,22,89.3,109.9,103.2,6.7,0.55,2948,6375,416,1113,46.24,37.38,2532,5262,48.12
Dallas Mavericks,2006-07,67,15,90.68,109.7,102.1,7.6,0.559,3010,6442,535,1404,46.72,38.11,2475,5038,49.13
Dallas Mavericks,2007-08,51,31,91.38,109.5,104.7,4.8,0.554,3025,6515,494,1403,46.43,35.21,2531,5112,49.51
Dallas Mavericks,2008-09,50,32,92.68,109,107,2,0.55,3128,6770,571,1632,46.2,34.99,2557,5138,49.77
Dallas Mavericks,2009-10,55,27,93.6,107.8,105,2.8,0.552,3140,6760,558,1498,46.45,37.25,2582,5262,49.07
Dallas Mavericks,2010-11,57,25,92.24,108.4,104.1,4.4,0.565,3069,6463,645,1768,47.49,36.48,2424,4695,51.63
Dallas Mavericks,2011-12,36,30,92.61,102.1,100.9,1.1,0.527,2398,5412,497,1464,44.31,33.95,1901,3948,48.15
Dallas Mavericks,2012-13,41,41,95.09,104.7,105.4,-0.6,0.544,3182,6892,606,1628,46.17,37.22,2576,5264,48.94
Dallas Mavericks,2013-14,49,33,94.94,109.5,107.2,2.3,0.564,3249,6858,721,1877,47.38,38.41,2528,4981,50.75
Dallas Mavericks,2014-15,50,32,96.4,108.2,104.9,3.2,0.55,3255,7036,732,2082,46.26,35.16,2523,4954,50.93
Dallas Mavericks,2015-16,42,40,95.34,105.5,105.9,-0.4,0.544,3064,6900,806,2342,44.41,34.42,2258,4558,49.54
Dallas Mavericks,2016-17,33,49,93.11,104.7,107.7,-3,0.541,2968,6750,878,2473,43.97,35.5,2090,4277,48.87
Dallas Mavericks,2017-18,24,58,96.53,105.4,108.4,-2.9,0.544,3128,7042,967,2688,44.42,35.97,2161,4354,49.63
Dallas Mavericks,2018-19,33,49,99.6,108.7,110.1,-1.5,0.555,3182,7122,1022,3002,44.68,34.04,2160,4120,52.43
Dallas Mavericks,2019-20,43,32,99.89,115.9,111.2,4.8,0.581,3124,6772,1136,3095,46.13,36.7,1988,3677,54.07
Dallas Mavericks,2020-21,42,30,97.94,114.6,112.3,2.3,0.582,2958,6287,994,2744,47.05,36.22,1964,3543,55.43
Dallas Mavericks,2021-22,52,30,95.64,112.5,109.1,3.5,0.572,3222,6982,1073,3063,46.15,35.03,2149,3919,54.84
Dallas Mavericks,2022-23,38,44,97.21,115.9,116.1,-0.2,0.599,3283,6909,1246,3362,47.52,37.06,2037,3547,57.43
Dallas Mavericks,2023-24,50,32,100.6,117,114.9,2.1,0.592,3535,7352,1197,3242,48.08,36.92,2338,4110,56.89
Denver Nuggets,2000-01,40,42,93.98,102.2,104.9,-2.8,0.511,2979,6877,512,1444,43.32,35.46,2467,5433,45.41
Denver Nuggets,2001-02,27,55,91.35,100.3,106.6,-6.3,0.495,2915,6870,423,1285,42.43,32.92,2492,5585,44.62
Denver Nuggets,2002-03,17,65,92.11,91.2,100.1,-8.9,0.469,2689,6544,229,824,41.09,27.79,2460,5720,43.01
Denver Nuggets,2003-04,43,39,94.64,102.4,101.4,1,0.517,2993,6763,331,985,44.26,33.6,2662,5778,46.07
Denver Nuggets,2004-05,49,33,94.68,104.7,102.6,2.2,0.535,3038,6615,320,940,45.93,34.04,2718,5675,47.89
Denver Nuggets,2005-06,44,38,94.9,104.4,104.1,0.3,0.535,3078,6672,350,1076,46.13,32.53,2728,5596,48.75
Denver Nuggets,2006-07,45,37,98.2,106.7,105.1,1.7,0.548,3164,6805,484,1440,46.5,33.61,2680,5365,49.95
Denver Nuggets,2007-08,50,32,100.58,108.9,105.5,3.4,0.557,3307,7038,569,1605,46.99,35.45,2738,5433,50.4
Denver Nuggets,2008-09,54,28,95.39,109,105.6,3.4,0.563,3058,6510,548,1477,46.97,37.1,2510,5033,49.87
Denver Nuggets,2009-10,53,29,95.61,110.8,106.5,4.4,0.561,3124,6678,544,1517,46.78,35.86,2580,5161,49.99
Denver Nuggets,2010-11,50,32,96.06,111.7,106.8,4.9,0.574,3145,6613,662,1704,47.56,38.85,2483,4909,50.58
Denver Nuggets,2011-12,38,28,95.03,108.3,105.1,3.2,0.556,2572,5404,435,1311,47.59,33.18,2137,4093,52.21
Denver Nuggets,2012-13,57,25,95.92,109.3,104.2,5.1,0.549,3339,6983,521,1518,47.82,34.32,2818,5465,51.56
Denver Nuggets,2013-14,36,46,98.95,105.1,107.3,-2.2,0.536,3147,7042,702,1959,44.69,35.83,2445,5083,48.1
Denver Nuggets,2014-15,30,52,96.87,103.9,107.1,-3.3,0.518,3099,7158,660,2032,43.29,32.48,2439,5126,47.58
Denver Nuggets,2015-16,33,49,96.34,104.9,108.2,-3.3,0.531,3093,7003,656,1943,44.17,33.76,2437,5060,48.16
Denver Nuggets,2016-17,40,42,99.18,112.2,111.7,0.4,0.568,3377,7194,870,2365,46.94,36.79,2507,4829,51.92
Denver Nuggets,2017-18,46,36,97.69,111.4,110,1.4,0.57,3338,7102,940,2536,47,37.07,2398,4566,52.52
Denver Nuggets,2018-19,54,28,98.49,112.1,108.1,4,0.558,3439,7384,903,2571,46.57,35.12,2536,4813,52.69
Denver Nuggets,2019-20,46,27,97.64,112.6,110.4,2.2,0.567,3069,6488,801,2234,47.3,35.85,2268,4254,53.31
Denver Nuggets,2020-21,47,25,97.74,116.3,111.5,4.8,0.588,3114,6422,927,2462,48.49,37.65,2187,3960,55.23
Denver Nuggets,2021-22,48,34,98.41,113.8,111.5,2.3,0.59,3416,7079,1039,2944,48.26,35.29,2377,4135,57.48
Denver Nuggets,2022-23,53,29,98.74,116.8,113.5,3.3,0.601,3574,7088,969,2559,50.42,37.87,2605,4529,57.52
Denver Nuggets,2023-24,57,25,97.43,117.8,112.3,5.5,0.589,3610,7279,958,2560,49.59,37.42,2652,4719,56.2
Detroit Pistons,2000-01,32,50,96.15,98.5,100.3,-1.8,0.498,2919,6880,389,1112,42.43,34.98,2530,5768,43.86
Detroit Pistons,2001-02,50,32,91.38,103.2,100.9,2.3,0.54,2845,6301,567,1509,45.15,37.57,2278,4792,47.54
Detroit Pistons,2002-03,50,32,88.26,102.4,98.2,4.2,0.523,2700,6277,533,1488,43.01,35.82,2167,4789,45.25
Detroit Pistons,2003-04,54,28,89.34,100.3,93.9,6.5,0.511,2747,6314,333,968,43.51,34.4,2414,5346,45.16
Detroit Pistons,2004-05,54,28,88.59,103.9,99.6,4.3,0.519,2851,6421,363,1053,44.4,34.47,2488,5368,46.35
Detroit Pistons,2005-06,64,18,87.98,109.3,101.7,7.6,0.535,2983,6558,557,1451,45.49,38.39,2426,5107,47.5
Detroit Pistons,2006-07,53,29,88.56,107.4,102.6,4.8,0.535,2942,6484,449,1305,45.37,34.41,2493,5179,48.14
Detroit Pistons,2007-08,59,23,88.54,109.8,101.5,8.3,0.539,2999,6551,487,1330,45.78,36.62,2512,5221,48.11
Detroit Pistons,2008-09,39,43,88.02,105.8,106.4,-0.6,0.524,2981,6559,377,1079,45.45,34.94,2604,5480,47.52
Detroit Pistons,2009-10,27,55,89.46,104.5,110.3,-5.9,0.515,2940,6602,374,1190,44.53,31.43,2566,5412,47.41
Detroit Pistons,2010-11,30,52,89.79,107,110.7,-3.7,0.533,3056,6647,472,1256,45.98,37.58,2584,5391,47.93
Detroit Pistons,2011-12,25,41,90.31,100,105,-5,0.51,2291,5232,317,916,43.79,34.61,1974,4316,45.74
Detroit Pistons,2012-13,29,53,91.68,102.7,107.2,-4.5,0.521,2979,6638,513,1440,44.88,35.63,2466,5198,47.44
Detroit Pistons,2013-14,29,53,95.57,105.2,109,-3.7,0.514,3182,7124,507,1580,44.67,32.09,2675,5544,48.25
Detroit Pistons,2014-15,32,50,93.68,104.3,105.4,-1.1,0.515,3041,7038,703,2043,43.21,34.41,2338,4995,46.81
