Team,Season,Wins,Losses
Atlanta Hawks,2000-01,25,57
Atlanta Hawks,2001-02,33,49
Atlanta Hawks,2002-03,35,47
Atlanta Hawks,2003-04,28,54
Atlanta Hawks,2004-05,13,69
Atlanta Hawks,2005-06,26,56
Atlanta Hawks,2006-07,30,52
Atlanta Hawks,2007-08,37,45
Atlanta Hawks,2008-09,47,35
Atlanta Hawks,2009-10,53,29
Atlanta Hawks,2010-11,44,38
Atlanta Hawks,2011-12,40,26
Atlanta Hawks,2012-13,44,38
Atlanta Hawks,2013-14,38,44
Atlanta Hawks,2014-15,60,22
Atlanta Hawks,2015-16,48,34
Atlanta Hawks,2016-17,43,39
Atlanta Hawks,2017-18,24,58
Atlanta Hawks,2018-19,29,53
Atlanta Hawks,2019-20,20,47
Atlanta Hawks,2020-21,41,31
Atlanta Hawks,2021-22,43,39
Atlanta Hawks,2022-23,41,41
Atlanta Hawks,2023-24,36,46
Atlanta Hawks,2024-25,26,28
Boston Celtics,2000-01,36,46
Boston Celtics,2001-02,49,33
Boston Celtics,2002-03,44,38
Boston Celtics,2003-04,36,46
Boston Celtics,2004-05,45,37
Boston Celtics,2005-06,33,49
Boston Celtics,2006-07,24,58
Boston Celtics,2007-08,66,16
Boston Celtics,2008-09,62,20
Boston Celtics,2009-10,50,32
Boston Celtics,2010-11,56,26
Boston Celtics,2011-12,39,27
Boston Celtics,2012-13,41,40
Boston Celtics,2013-14,25,57
Boston Celtics,2014-15,40,42
Boston Celtics,2015-16,48,34
Boston Celtics,2016-17,53,29
Boston Celtics,2017-18,55,27
Boston Celtics,2018-19,49,33
Boston Celtics,2019-20,48,24
Boston Celtics,2020-21,36,36
Boston Celtics,2021-22,51,31
Boston Celtics,2022-23,57,25
Boston Celtics,2023-24,64,18
Boston Celtics,2024-25,38,16
Cleveland Cavaliers,2000-01,30,52
Cleveland Cavaliers,2001-02,29,53
Cleveland Cavaliers,2002-03,17,65
Cleveland Cavaliers,2003-04,35,47
Cleveland Cavaliers,2004-05,42,40
Cleveland Cavaliers,2005-06,50,32
Cleveland Cavaliers,2006-07,50,32
Cleveland Cavaliers,2007-08,45,37
Cleveland Cavaliers,2008-09,66,16
Cleveland Cavaliers,2009-10,61,21
Cleveland Cavaliers,2010-11,19,63
Cleveland Cavaliers,2011-12,21,45
Cleveland Cavaliers,2012-13,24,58
Cleveland Cavaliers,2013-14,33,49
Cleveland Cavaliers,2014-15,53,29
Cleveland Cavaliers,2015-16,57,25
Cleveland Cavaliers,2016-17,51,31
Cleveland Cavaliers,2017-18,50,32
Cleveland Cavaliers,2018-19,19,63
Cleveland Cavaliers,2019-20,19,46
Cleveland Cavaliers,2020-21,22,50
Cleveland Cavaliers,2021-22,44,38
Cleveland Cavaliers,2022-23,51,31
Cleveland Cavaliers,2023-24,48,34
Cleveland Cavaliers,2024-25,43,10
New Orleans Pelicans,2002-03,47,35
New Orleans Pelicans,2003-04,41,41
New Orleans Pelicans,2004-05,18,64
New Orleans Pelicans,2005-06,38,44
New Orleans Pelicans,2006-07,39,43
New Orleans Pelicans,2007-08,56,26
New Orleans Pelicans,2008-09,49,33
New Orleans Pelicans,2009-10,37,45
New Orleans Pelicans,2010-11,46,36
New Orleans Pelicans,2011-12,21,45
New Orleans Pelicans,2012-13,27,55
New Orleans Pelicans,2013-14,34,48
New Orleans Pelicans,2014-15,45,37
New Orleans Pelicans,2015-16,30,52
New Orleans Pelicans,2016-17,34,48
New Orleans Pelicans,2017-18,48,34
New Orleans Pelicans,2018-19,33,49
New Orleans Pelicans,2019-20,30,42
New Orleans Pelicans,2020-21,31,41
New Orleans Pelicans,2021-22,36,46
New Orleans Pelicans,2022-23,42,40
New Orleans Pelicans,2023-24,49,33
New Orleans Pelicans,2024-25,12,41
Chicago Bulls,2000-01,15,67
Chicago Bulls,2001-02,21,61
Chicago Bulls,2002-03,30,52
Chicago Bulls,2003-04,23,59
Chicago Bulls,2004-05,47,35
Chicago Bulls,2005-06,41,41
Chicago Bulls,2006-07,49,33
Chicago Bulls,2007-08,33,49
Chicago Bulls,2008-09,41,41
Chicago Bulls,2009-10,41,41
Chicago Bulls,2010-11,62,20
Chicago Bulls,2011-12,50,16
Chicago Bulls,2012-13,45,37
Chicago Bulls,2013-14,48,34
Chicago Bulls,2014-15,50,32
Chicago Bulls,2015-16,42,40
Chicago Bulls,2016-17,41,41
Chicago Bulls,2017-18,27,55
Chicago Bulls,2018-19,22,60
Chicago Bulls,2019-20,22,43
Chicago Bulls,2020-21,31,41
Chicago Bulls,2021-22,46,36
Chicago Bulls,2022-23,40,42
Chicago Bulls,2023-24,39,43
Chicago Bulls,2024-25,22,31
Dallas Mavericks,2000-01,53,29
Dallas Mavericks,2001-02,57,25
Dallas Mavericks,2002-03,60,22
Dallas Mavericks,2003-04,52,30
