TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,SEASON
Atlanta Hawks,96.9,102.4,-5.5,0.5,2000-01
Boston Celtics,100.1,102.3,-2.2,0.521,2000-01
Charlotte Hornets,99.7,97.6,2.1,0.506,2000-01
Chicago Bulls,95.9,105.9,-10.0,0.495,2000-01
Cleveland Cavaliers,99.3,103.5,-4.2,0.509,2000-01
Dallas Mavericks,105.6,101.2,4.4,0.544,2000-01
Denver Nuggets,102.2,104.9,-2.8,0.511,2000-01
Detroit Pistons,98.5,100.3,-1.8,0.498,2000-01
Golden State Warriors,96.3,105.5,-9.2,0.47,2000-01
Houston Rockets,105.2,102.8,2.4,0.538,2000-01
Indiana Pacers,100.3,100.5,-0.2,0.519,2000-01
Los Angeles Clippers,100.3,103.2,-2.9,0.514,2000-01
Los Angeles Lakers,107.0,103.6,3.5,0.535,2000-01
Miami Heat,99.4,97.1,2.3,0.515,2000-01
Milwaukee Bucks,106.8,102.6,4.2,0.542,2000-01
Minnesota Timberwolves,103.9,102.4,1.6,0.523,2000-01
New Jersey Nets,98.4,103.8,-5.4,0.504,2000-01
New York Knicks,100.0,97.0,3.0,0.523,2000-01
Orlando Magic,102.1,101.1,1.0,0.513,2000-01
Philadelphia 76ers,101.9,97.3,4.6,0.518,2000-01
Phoenix Suns,98.9,96.7,2.3,0.506,2000-01
Portland Trail Blazers,104.7,100.5,4.2,0.539,2000-01
Sacramento Kings,104.2,98.5,5.7,0.529,2000-01
San Antonio Spurs,105.0,96.6,8.3,0.541,2000-01
Seattle SuperSonics,104.4,104.2,0.2,0.53,2000-01
Toronto Raptors,104.4,102.0,2.3,0.51,2000-01
Utah Jazz,106.1,100.9,5.2,0.546,2000-01
Vancouver Grizzlies,98.2,104.2,-6.0,0.51,2000-01
Washington Wizards,99.4,106.2,-6.8,0.514,2000-01
Atlanta Hawks,100.4,104.8,-4.4,0.517,2001-02
Boston Celtics,102.1,99.9,2.2,0.52,2001-02
Charlotte Hornets,102.9,101.8,1.2,0.513,2001-02
Chicago Bulls,97.2,106.2,-9.1,0.499,2001-02
Cleveland Cavaliers,103.4,107.0,-3.6,0.524,2001-02
Dallas Mavericks,110.3,106.0,4.3,0.553,2001-02
Denver Nuggets,100.3,106.6,-6.3,0.495,2001-02
Detroit Pistons,103.2,100.9,2.3,0.54,2001-02
Golden State Warriors,101.5,107.1,-5.6,0.499,2001-02
Houston Rockets,101.6,106.9,-5.4,0.507,2001-02
Indiana Pacers,102.8,102.4,0.4,0.527,2001-02
Los Angeles Clippers,104.3,104.7,-0.4,0.519,2001-02
Los Angeles Lakers,108.0,100.4,7.6,0.534,2001-02
Memphis Grizzlies,96.6,104.7,-8.0,0.501,2001-02
Miami Heat,97.3,99.0,-1.7,0.501,2001-02
Milwaukee Bucks,105.3,105.6,-0.3,0.544,2001-02
Minnesota Timberwolves,107.5,104.1,3.4,0.532,2001-02
New Jersey Nets,102.4,98.1,4.3,0.515,2001-02
New York Knicks,100.4,104.6,-4.2,0.514,2001-02
Orlando Magic,105.6,104.1,1.5,0.533,2001-02
Philadelphia 76ers,100.5,98.7,1.8,0.507,2001-02
Phoenix Suns,101.8,102.6,-0.7,0.51,2001-02
Portland Trail Blazers,105.9,102.6,3.3,0.528,2001-02
Sacramento Kings,107.9,99.7,8.1,0.539,2001-02
San Antonio Spurs,105.4,98.5,6.9,0.539,2001-02
Seattle SuperSonics,107.3,104.1,3.3,0.54,2001-02
Toronto Raptors,101.1,101.7,-0.6,0.501,2001-02
Utah Jazz,103.8,102.9,0.9,0.529,2001-02
Washington Wizards,102.9,104.5,-1.6,0.508,2001-02
Atlanta Hawks,100.4,104.2,-3.8,0.527,2002-03
Boston Celtics,100.0,100.5,-0.6,0.514,2002-03
Chicago Bulls,99.1,104.2,-5.1,0.512,2002-03
Cleveland Cavaliers,95.2,105.1,-9.9,0.491,2002-03
Dallas Mavericks,109.3,101.0,8.3,0.543,2002-03
Denver Nuggets,91.2,100.1,-8.9,0.469,2002-03
Detroit Pistons,102.4,98.2,4.2,0.523,2002-03
Golden State Warriors,106.4,107.7,-1.3,0.526,2002-03
Houston Rockets,102.4,100.9,1.5,0.522,2002-03
Indiana Pacers,103.2,99.6,3.5,0.522,2002-03
Los Angeles Clippers,101.1,105.1,-4.0,0.516,2002-03
Los Angeles Lakers,105.6,103.4,2.2,0.528,2002-03
Memphis Grizzlies,102.3,105.9,-3.5,0.526,2002-03
Miami Heat,95.4,101.2,-5.8,0.483,2002-03
Milwaukee Bucks,107.2,106.9,0.3,0.543,2002-03
Minnesota Timberwolves,104.8,102.5,2.2,0.528,2002-03
New Jersey Nets,102.1,96.6,5.4,0.518,2002-03
New Orleans Hornets,102.4,100.0,2.4,0.511,2002-03
New York Knicks,103.3,104.6,-1.3,0.528,2002-03
Orlando Magic,103.7,103.7,0.0,0.526,2002-03
Philadelphia 76ers,103.2,100.6,2.6,0.52,2002-03
Phoenix Suns,102.6,101.3,1.3,0.514,2002-03
Portland Trail Blazers,104.2,101.5,2.7,0.531,2002-03
Sacramento Kings,104.4,97.8,6.6,0.535,2002-03
San Antonio Spurs,103.9,98.1,5.8,0.541,2002-03
Seattle SuperSonics,102.4,102.6,-0.2,0.512,2002-03
Toronto Raptors,99.3,105.6,-6.3,0.497,2002-03
Utah Jazz,103.7,101.1,2.6,0.537,2002-03
Washington Wizards,101.5,102.6,-1.1,0.513,2002-03
Atlanta Hawks,99.1,103.9,-4.8,0.514,2003-04
Boston Celtics,100.7,102.2,-1.5,0.532,2003-04
Chicago Bulls,95.6,102.1,-6.5,0.486,2003-04
Cleveland Cavaliers,100.6,103.1,-2.6,0.498,2003-04
Dallas Mavericks,110.4,105.9,4.5,0.536,2003-04
Denver Nuggets,102.4,101.4,1.0,0.517,2003-04
