TEAM_NAME,FGM,FGA,FG3M,FG3A,FG%,FG3%,FG2M,FG2A,2P%,SEASON
Atlanta Hawks,2876,6668,333,933,43.13137372525495,35.69131832797427,2543,5735,44.34176111595466,2000-01
Boston Celtics,2773,6485,592,1633,42.76021588280648,36.25229638701776,2181,4852,44.95053586150041,2000-01
Charlotte Hornets,2800,6501,340,984,43.07029687740347,34.552845528455286,2460,5517,44.58945078847199,2000-01
Chicago Bulls,2721,6411,329,950,42.44267664950866,34.63157894736842,2392,5461,43.80150155649149,2000-01
Cleveland Cavaliers,2890,6532,220,659,44.243723208818125,33.38391502276176,2670,5873,45.46228503320279,2000-01
Dallas Mavericks,3085,6716,517,1357,45.93508040500298,38.09874723655122,2568,5359,47.91938794551222,2000-01
Denver Nuggets,2979,6877,512,1444,43.3183074014832,35.45706371191136,2467,5433,45.40769372354132,2000-01
Detroit Pistons,2919,6880,389,1112,42.42732558139535,34.982014388489205,2530,5768,43.86269070735091,2000-01
Golden State Warriors,2937,7175,282,964,40.933797909407666,29.253112033195023,2655,6211,42.74673965545001,2000-01
Houston Rockets,2943,6494,504,1412,45.31875577456113,35.69405099150141,2439,5082,47.992916174734354,2000-01
Indiana Pacers,2828,6431,396,1159,43.97449852278028,34.167385677308026,2432,5272,46.13050075872534,2000-01
Los Angeles Clippers,2896,6467,360,1063,44.781196845523425,33.866415804327374,2536,5404,46.92820133234641,2000-01
Los Angeles Lakers,3109,6685,439,1275,46.50710545998504,34.431372549019606,2670,5410,49.35304990757856,2000-01
Miami Heat,2694,6258,478,1384,43.04889741131352,34.53757225433526,2216,4874,45.46573656134591,2000-01
Milwaukee Bucks,3112,6798,562,1481,45.77817005001471,37.94733288318704,2550,5317,47.95937558773745,2000-01
Minnesota Timberwolves,3148,6871,322,901,45.81574734390919,35.73806881243063,2826,5970,47.33668341708543,2000-01
New Jersey Nets,2781,6550,361,1084,42.458015267175576,33.30258302583026,2420,5466,44.27369191364801,2000-01
New York Knicks,2755,6198,391,1115,44.449822523394644,35.06726457399103,2364,5083,46.50796773558922,2000-01
Orlando Magic,3013,6873,490,1346,43.83820747853921,36.40416047548291,2523,5527,45.64863397865026,2000-01
Philadelphia 76ers,2902,6487,262,803,44.73562509634654,32.62764632627647,2640,5684,46.44616467276566,2000-01
Phoenix Suns,2944,6757,332,1054,43.56963149326624,31.499051233396585,2612,5703,45.8004559004033,2000-01
Portland Trail Blazers,3004,6417,369,1057,46.813152563503195,34.91012298959319,2635,5360,49.16044776119403,2000-01
Sacramento Kings,3132,6969,479,1353,44.941885492897114,35.40280857354028,2653,5616,47.24002849002849,2000-01
San Antonio Spurs,2884,6262,445,1094,46.05557329926541,40.67641681901279,2439,5168,47.19427244582043,2000-01
Seattle SuperSonics,3029,6649,466,1169,45.55572266506241,39.86313088109495,2563,5480,46.770072992700726,2000-01
Toronto Raptors,3048,6972,429,1164,43.71772805507745,36.855670103092784,2619,5808,45.09297520661157,2000-01
Utah Jazz,2960,6289,325,852,47.0663062490062,38.14553990610329,2635,5437,48.464226595549015,2000-01
Vancouver Grizzlies,2870,6539,325,947,43.89050313503594,34.31890179514255,2545,5592,45.51144492131617,2000-01
Washington Wizards,2833,6453,275,848,43.90206105687277,32.42924528301887,2558,5605,45.63782337198929,2000-01
Atlanta Hawks,2901,6610,423,1194,43.888048411497735,35.427135678391956,2478,5416,45.753323485967506,2001-02
Boston Celtics,2852,6731,699,1946,42.37111870450156,35.91983556012333,2153,4785,44.994775339602924,2001-02
Charlotte Hornets,2893,6580,346,994,43.96656534954408,34.80885311871227,2547,5586,45.59613319011815,2001-02
Chicago Bulls,2811,6491,300,868,43.30611616083808,34.56221198156682,2511,5623,44.655877645385026,2001-02
Cleveland Cavaliers,2948,6582,387,1026,44.78881798845335,37.719298245614034,2561,5556,46.0943124550036,2001-02
Dallas Mavericks,3200,6930,621,1645,46.17604617604618,37.75075987841945,2579,5285,48.79848628192999,2001-02
Denver Nuggets,2915,6870,423,1285,42.43085880640466,32.91828793774319,2492,5585,44.619516562220234,2001-02
Detroit Pistons,2845,6301,567,1509,45.15156324392953,37.57455268389662,2278,4792,47.537562604340565,2001-02
Golden State Warriors,2998,6989,320,994,42.895979396194015,32.19315895372233,2678,5995,44.67055879899917,2001-02
Houston Rockets,2837,6629,496,1480,42.79680193090964,33.513513513513516,2341,5149,45.46513886191493,2001-02
Indiana Pacers,2935,6580,405,1195,44.6048632218845,33.89121338912134,2530,5385,46.982358402971215,2001-02
Los Angeles Clippers,2970,6668,408,1147,44.54109178164367,35.571054925893634,2562,5521,46.40463684115196,2001-02
Los Angeles Lakers,3150,6840,510,1439,46.05263157894737,35.44127866574009,2640,5401,48.87983706720978,2001-02
Memphis Grizzlies,2851,6535,336,1096,43.626625860749805,30.656934306569344,2515,5439,46.240117668689095,2001-02
Miami Heat,2801,6382,312,899,43.88906298965841,34.705228031145715,2489,5483,45.39485683020244,2001-02
Milwaukee Bucks,3041,6577,593,1583,46.23688611829102,37.46051800379027,2448,4994,49.01882258710452,2001-02
Minnesota Timberwolves,3175,6887,396,1047,46.101350370262814,37.82234957020057,2779,5840,47.58561643835616,2001-02
New Jersey Nets,3042,6816,403,1194,44.63028169014084,33.75209380234506,2639,5622,46.94059053717538,2001-02
New York Knicks,2817,6520,474,1344,43.20552147239264,35.267857142857146,2343,5176,45.266615146831526,2001-02
Orlando Magic,3087,6892,620,1660,44.79106210098665,37.34939759036144,2467,5232,47.15214067278288,2001-02
Philadelphia 76ers,2804,6436,214,715,43.567433188315725,29.93006993006993,2590,5721,45.271805628386645,2001-02
Phoenix Suns,3097,6934,358,1096,44.66397461782521,32.66423357664234,2739,5838,46.91675231243577,2001-02
Portland Trail Blazers,3004,6671,466,1318,45.030730025483436,35.35660091047041,2538,5353,47.41266579488138,2001-02
