TEAM_NAME,PACE,SEASON
Atlanta Hawks,93.63,2000-01
Boston Celtics,93.81,2000-01
Charlotte Hornets,91.24,2000-01
Chicago Bulls,90.47,2000-01
Cleveland Cavaliers,92.32,2000-01
Dallas Mavericks,94.52,2000-01
Denver Nuggets,93.98,2000-01
Detroit Pistons,96.15,2000-01
Golden State Warriors,95.7,2000-01
Houston Rockets,91.66,2000-01
Indiana Pacers,90.89,2000-01
Los Angeles Clippers,90.67,2000-01
Los Angeles Lakers,92.9,2000-01
Miami Heat,88.39,2000-01
Milwaukee Bucks,93.89,2000-01
Minnesota Timberwolves,92.99,2000-01
New Jersey Nets,93.35,2000-01
New York Knicks,87.74,2000-01
Orlando Magic,94.14,2000-01
Philadelphia 76ers,92.09,2000-01
Phoenix Suns,94.41,2000-01
Portland Trail Blazers,90.53,2000-01
Sacramento Kings,95.61,2000-01
San Antonio Spurs,90.87,2000-01
Seattle SuperSonics,92.69,2000-01
Toronto Raptors,92.22,2000-01
Utah Jazz,91.08,2000-01
Vancouver Grizzlies,93.03,2000-01
Washington Wizards,93.97,2000-01
Atlanta Hawks,93.21,2001-02
Boston Celtics,93.6,2001-02
Charlotte Hornets,90.93,2001-02
Chicago Bulls,91.56,2001-02
Cleveland Cavaliers,91.31,2001-02
Dallas Mavericks,94.36,2001-02
Denver Nuggets,91.35,2001-02
Detroit Pistons,91.38,2001-02
Golden State Warriors,95.75,2001-02
Houston Rockets,89.56,2001-02
Indiana Pacers,93.13,2001-02
Los Angeles Clippers,91.21,2001-02
Los Angeles Lakers,93.32,2001-02
Memphis Grizzlies,92.55,2001-02
Miami Heat,88.47,2001-02
Milwaukee Bucks,91.51,2001-02
Minnesota Timberwolves,91.72,2001-02
New Jersey Nets,93.2,2001-02
New York Knicks,90.78,2001-02
Orlando Magic,94.4,2001-02
Philadelphia 76ers,90.32,2001-02
Phoenix Suns,92.74,2001-02
Portland Trail Blazers,90.55,2001-02
Sacramento Kings,96.74,2001-02
San Antonio Spurs,91.06,2001-02
Seattle SuperSonics,90.35,2001-02
Toronto Raptors,90.02,2001-02
Utah Jazz,91.75,2001-02
Washington Wizards,89.93,2001-02
Atlanta Hawks,92.63,2002-03
Boston Celtics,91.95,2002-03
Chicago Bulls,94.76,2002-03
Cleveland Cavaliers,95.32,2002-03
Dallas Mavericks,93.75,2002-03
Denver Nuggets,92.11,2002-03
Detroit Pistons,88.26,2002-03
Golden State Warriors,95.88,2002-03
Houston Rockets,90.36,2002-03
Indiana Pacers,92.71,2002-03
Los Angeles Clippers,92.68,2002-03
Los Angeles Lakers,93.78,2002-03
Memphis Grizzlies,94.03,2002-03
Miami Heat,88.93,2002-03
Milwaukee Bucks,91.76,2002-03
Minnesota Timberwolves,93.08,2002-03
New Jersey Nets,93.0,2002-03
New Orleans Hornets,90.72,2002-03
New York Knicks,92.06,2002-03
Orlando Magic,94.33,2002-03
Philadelphia 76ers,93.07,2002-03
Phoenix Suns,92.59,2002-03
Portland Trail Blazers,90.44,2002-03
Sacramento Kings,96.63,2002-03
San Antonio Spurs,91.46,2002-03
Seattle SuperSonics,89.17,2002-03
Toronto Raptors,91.01,2002-03
Utah Jazz,90.78,2002-03
Washington Wizards,89.46,2002-03
Atlanta Hawks,92.68,2003-04
Boston Celtics,94.47,2003-04
Chicago Bulls,93.23,2003-04
Cleveland Cavaliers,91.71,2003-04
Dallas Mavericks,94.62,2003-04
Denver Nuggets,94.64,2003-04
Detroit Pistons,89.34,2003-04
Golden State Warriors,90.95,2003-04
Houston Rockets,88.92,2003-04
Indiana Pacers,88.54,2003-04
Los Angeles Clippers,92.49,2003-04
Los Angeles Lakers,93.39,2003-04
Memphis Grizzlies,92.6,2003-04
Miami Heat,89.3,2003-04
Milwaukee Bucks,93.2,2003-04
Minnesota Timberwolves,90.24,2003-04
New Jersey Nets,90.97,2003-04
New Orleans Hornets,90.59,2003-04
New York Knicks,91.29,2003-04
Orlando Magic,92.14,2003-04
Philadelphia 76ers,89.26,2003-04
Phoenix Suns,93.72,2003-04
Portland Trail Blazers,87.54,2003-04
Sacramento Kings,94.25,2003-04
San Antonio Spurs,90.23,2003-04
Seattle SuperSonics,91.34,2003-04
Toronto Raptors,88.24,2003-04
Utah Jazz,88.26,2003-04
Washington Wizards,93.9,2003-04
Atlanta Hawks,93.09,2004-05
Boston Celtics,94.61,2004-05
Charlotte Bobcats,93.54,2004-05
Chicago Bulls,93.41,2004-05
Cleveland Cavaliers,90.72,2004-05
Dallas Mavericks,94.18,2004-05
Denver Nuggets,94.68,2004-05
Detroit Pistons,88.59,2004-05
Golden State Warriors,94.45,2004-05
Houston Rockets,90.18,2004-05
Indiana Pacers,88.71,2004-05
Los Angeles Clippers,90.66,2004-05
Los Angeles Lakers,92.34,2004-05
Memphis Grizzlies,89.65,2004-05
Miami Heat,91.73,2004-05
Milwaukee Bucks,92.14,2004-05
Minnesota Timberwolves,90.39,2004-05
